Time (ms),RMS Voltage (V),VBrms,RMS Current (A),IBrms,Power (W),PowerB,Power factor,PfB,Frequency (Hz),FrequencyB,Temperature (C),Pressure (Pa),Humidity (%),Emergency Status
50477,0.027175210416316986,1.969692349433899,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,49.94847869873047,31.236751556396484,100103.125,36.60318374633789,0
50944,0.027228936553001404,1.9664041996002197,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.049076080322266,31.231670379638672,100099.546875,36.597412109375,0
51411,0.02669166587293148,1.9588608741760254,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.160545349121094,31.241836547851562,100106.6875,36.63225173950195,0
51878,0.026551974937319756,1.9410665035247803,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.00682830810547,31.231670379638672,100099.546875,36.67314147949219,0
52345,0.027228936553001404,1.949920654296875,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.11634826660156,31.226587295532227,100098.71875,36.70813751220703,0
52812,0.027228936553001404,1.9757527112960815,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,49.995723724365234,31.236751556396484,100097.6640625,36.67890930175781,0
53279,0.026949554681777954,1.9785680770874023,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.084083557128906,31.241836547851562,100103.953125,36.67884826660156,0
53746,0.026917319744825363,1.9759031534194946,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.12348937988281,31.246917724609375,100096.6015625,36.649681091308594,0
54213,0.027228936553001404,2.0975844860076904,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.13765335083008,31.236751556396484,100097.6640625,36.63230895996094,0
54679,0.027164464816451073,2.1403298377990723,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.01289367675781,31.241836547851562,100103.953125,36.60312271118164,0
55146,0.026949554681777954,2.146594524383545,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.09492111206055,31.252004623413086,100100.171875,36.60884094238281,0
55613,0.027175210416316986,2.1424036026000977,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.09334182739258,31.246917724609375,100093.875,36.579776763916016,0
56080,0.027164464816451073,2.1480236053466797,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.014808654785156,31.241836547851562,100093.03125,36.562347412109375,0
56547,0.027228936553001404,2.140286922454834,0.0,0.0,0.0,0.0,1.0,1.0,49.999996185302734,50.02849197387695,31.241836547851562,100101.21875,36.55069351196289,0
